Xerneas: #0A0F1F, #16243D, #24406B, #3D6B9E, #6B9EC4, #A8C4D6, #070B16
Archaludon: #1A2028, #3D4A5C, #6B7A8C, #9EAEC4, #1B6BC4, #E0762E, #0F1318
Pecharunt: #0D0518, #2E0A3D, #52147A, #8C2EA8, #E86BA8, #F2A8C4, #060310
Ogerpon: #0A2410, #1B5C2E, #3D9E4F, #7AC466, #A35C24, #E0A83A, #06160A
Okidogi: #0A241F, #1B5C4A, #2E9E7A, #E03A7A, #E8C93A, #14241F, #061410
Fezandipiti: #14050D, #330A1F, #66143D, #A31B5C, #E03A8B, #F2C93A, #0A0308
Munkidori: #0A0518, #2E1452, #52288C, #7A4FC4, #E86BA8, #4FA8E8, #050310
Terapagos: #06183D, #0E3D7A, #1B6BC4, #4FA8E8, #A3E8FA, #E8FAFF, #04101F
Ogerpon Wellspring: #06183D, #0E3D7A, #1B6BC4, #4FA8E8, #A3D6F0, #2E7A4F, #04101F
Ogerpon Hearthflame: #3D0A05, #8B1410, #D9301B, #F2762B, #F2C93A, #2E5C2E, #1A0503
Ogerpon Cornerstone: #241408, #4A3319, #7A5C3D, #A8907A, #D6C9B8, #2E5C2E, #140A05
